번호,kmdb제목,kmdb장르,개봉연도,관객수,movie_id,movie_seq
K1538,잔나비 판타스틱 올드패션드 리턴즈! x 넌센스 Ⅱ,인물|뮤직,2021,16704,A,10417
K1539,여배우는 오늘도,옴니버스|드라마,2017,16646,K,16502
K1540,산타바바라,드라마|멜로드라마,2014,16626,K,14287
K1541,7년-그들이 없는 언론,사회,2017,16577,A,06547
K1543,마돈나,드라마,2015,16385,K,14774
K1544,소와 함께 여행하는 법,드라마,2010,16356,K,12531
K1545,김군,인물|역사,2019,16324,A,08433
K1546,송가인 더 드라마,인물|뮤직,2021,16251,A,10008
K1547,순교,인물,2015,16202,A,06366
K1548,초미의 관심사,드라마,2020,16137,K,21782
K1549,로드무비,드라마|로드무비|동성애,2002,16039,K,05725
K1550,오구,코메디|드라마,2003,16000,K,06049
K1551,헤로니모,인물|역사,2019,15982,A,09256
K1552,마왕의 딸 이리샤,어드벤처|아동,2019,15894,K,17964
K1553,극장판 샤이닝스타:새로운 루나퀸의 탄생!,뮤직,2019,15785,K,20827
K1554,러브토크,멜로드라마,2005,15719,K,06693
K1555,물고기자리,드라마|미스터리,2000,15674,K,05266
K1556,빛나는 순간,드라마,2021,15389,K,22503
K1557,블랙핑크 더 무비,인물|뮤직,2021,15387,A,10135
K1558,볼츠와 블립 : 달나라리그의 전투3D,SF|가족|판타지,2012,15386,K,13093
K1559,더블패티,드라마,2021,15383,K,23393
K1560,핑크퐁 시네마 콘서트 : 우주대탐험,어드벤처,2020,15229,K,21680
K1561,MB의 추억,사회|인물,2012,14954,A,05773
K1562,사랑이 이긴다,드라마,2015,14916,K,14796
K1563,십개월의 미래,드라마,2021,14915,K,22662
K1564,군산: 거위를 노래하다,드라마,2018,14848,K,17676
K1565,카센타,드라마|범죄|코메디,2019,14839,K,21449
K1566,아픈 만큼 사랑한다,인권|인물,2019,14682,A,08805
K1567,마고,드라마,2002,14671,K,05475
K1568,안녕?! 오케스트라,뮤직,2013,14665,A,05966
K1569,공포택시,코메디|드라마,2000,14651,K,05261
K1570,지옥만세,어드벤처|드라마|코메디,2023,14646,K,32628
K1571,이번엔 잘되겠지,코메디,2021,14528,K,24521
K1572,시민 노무현,인물,2019,14500,A,09021
K1573,공정사회,드라마|스릴러,2013,14461,K,13274
K1574,춘몽,멜로드라마|드라마|가족,2016,14423,K,15727
K1575,무수단,미스터리|스릴러,2016,14386,K,14926
K1576,브링 홈: 아버지의 땅,가족|지역|인물,2016,14289,A,06515
K1577,피는 물보다 진하다,액션,2022,14201,K,28771
K1578,아티스트 봉만대,드라마|코메디,2013,14188,K,13915
K1579,저 하늘에도 슬픔이,드라마|가족,2007,14168,K,08909
K1580,듣보인간의 생존신고,인물,2023,14093,A,10783
K1581,밤과 낮,드라마,2008,13940,K,09425
K1582,보트,액션|드라마,2009,13904,K,10249
K1583,위로공단,사회,2015,13827,A,06265
K1584,극장판 타오르지마 버스터 - 블랙어썰트의 귀환,코메디|액션|어드벤처,2019,13685,K,21221
K1585,심야카페: 미씽 허니,판타지|멜로/로맨스,2022,13682,K,31424
K1586,라방,드라마,2023,13647,K,34444
K1587,헤이지니 럭키강이 비밀의 문,뮤지컬|가족,2022,13642,A,12166
K1588,이프,코메디|드라마,2000,13591,K,05232
K1589,버티고,드라마|멜로/로맨스,2019,13567,K,21261
K1590,오마주,드라마,2022,13519,K,27009
K1591,남자 태어나다,코메디|드라마|스포츠,2002,13474,K,05836
K1592,임을 위한 행진곡,드라마,2018,13424,K,17086
