번호,kmdb제목,kmdb장르,개봉연도,관객수,movie_id,movie_seq
F1112,메리 포핀스 리턴즈,가족|판타지|뮤지컬,2019,224160,F,47117
F1113,큐브 2,공포(호러)|SF|스릴러,2003,224070,F,08127
F1114,12 솔져스,액션|드라마|전쟁,2018,223740,F,40873
F1115,록키 발보아,드라마|스포츠,2007,223666,F,20035
F1116,이스케이프 룸 2: 노 웨이 아웃,액션|어드벤처|공포|미스터리|스릴러,2021,223313,F,53497
F1117,트래픽,드라마|범죄|스릴러,2001,223308,F,07414
F1118,알파 앤 오메가,코메디|어드벤처|가족,2011,222953,F,27434
F1119,일라이,액션|드라마|어드벤처|스릴러,2010,222927,F,26276
F1120,냉정과 열정사이,멜로드라마,2003,222860,F,11260
F1121,코렐라인: 비밀의 문,드라마|어드벤처|아동|가족|판타지,2009,222594,F,23926
F1295,나폴레옹,액션|드라마|전쟁,2023,222508,F,59642
F1122,헤라클레스 : 레전드 비긴즈,드라마|액션|판타지,2014,221327,F,32424
F1123,노미오와 줄리엣,코메디|멜로드라마|어드벤처|판타지,2011,221176,F,27728
F1124,잔다르크,시대극/사극|드라마|전기,2000,220986,F,06860
F1125,언프렌디드 : 친구삭제,공포,2015,219678,F,34284
F1126,노아의 방주: 남겨진 녀석들,어드벤처,2015,219621,F,34233
F1127,철도원,드라마,2000,219327,F,06861
F1128,명탐정 코난: 감청의 권,미스터리|스릴러|어드벤처,2019,219078,F,48251
F1129,언데드,공포(호러),2009,217924,F,23714
F1130,50가지 그림자: 해방,드라마|멜로드라마|스릴러,2018,217785,F,40843
F1131,짱구는 못말려 극장판: 태풍을 부르는 나와 우주의 프린세스,코메디|가족,2013,217320,F,30866
F1132,메카닉,액션|드라마|스릴러,2011,217077,F,27486
F1133,프리즌 이스케이프,어드벤처|스릴러,2020,217056,F,51022
F1134,원피스 필름 골드,액션|어드벤처,2016,216861,F,37490
F1135,송포유,드라마|코메디,2013,216852,F,30842
F1136,페넬로피,코메디|멜로드라마|판타지,2008,216703,F,21806
F1137,그린랜턴: 반지의 선택,액션|SF,2011,216676,F,27926
F1138,케로로 더무비: 드래곤 워리어,SF|어드벤처|아동,2009,216487,F,23882
F1139,루돌프와 많이있어,어드벤처|코메디,2016,215993,F,37804
F1140,나는 비와 함께 간다,드라마|갱스터|스릴러,2009,215362,F,24855
F1141,극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,어드벤처|판타지,2017,215203,F,39734
F1142,벽 속에 숨은 마법시계,판타지|공포|미스터리|SF|스릴러,2018,215029,F,45148
F1143,허리케인 하이스트,액션|스릴러,2018,214949,F,41143
F1144,천국의 아이들,코메디|드라마,2001,214896,F,06897
F1145,독수리 에디,드라마|전기|코메디,2016,214003,F,35446
F1146,한 솔로: 스타워즈 스토리,SF|액션,2018,213980,F,41345
F1147,"극장판 포켓몬스터: 정글의 아이, 코코",어드벤처,2021,213913,F,52934
F1148,크림슨 리버,드라마|범죄|미스터리|스릴러,2001,213753,F,07387
F1149,매트릭스: 리저렉션,액션|SF,2021,213693,F,54461
F1150,말리와 나,코메디|드라마|멜로드라마|가족,2009,213500,F,23711
F1151,비커밍 제인,멜로/로맨스|드라마,2007,213487,F,21293
F1152,바빌론,드라마,2023,213125,F,56804
