번호,영화명,개봉일,전국관객수,서울관객수,개봉연도,관객수기준,장르,kmdb제목,kmdb장르
1740,노 게임 노 라이프 -제로-,2017-10-19,"90,718","24,302",2017,90718,애니메이션,노 게임 노 라이프 -제로-,어드벤처
1741,둠스데이:지구 최후의 날,2008-06-19,"90,666","26,258",2008,90666,SF,둠스데이 : 지구 최후의 날,액션|드라마|SF|스릴러
1742,시몬,2003-01-17,"90,485","41,316",2003,90485,SF,시몬,코메디|드라마|SF
1743,데스 센텐스,2007-12-06,"90,373","36,397",2007,90373,액션,데스 센텐스,액션|드라마
1744,고티카,2004-04-02,"90,062","40,212",2004,90062,공포(호러),고티카,공포(호러)|미스터리|스릴러
1745,주디,2020-03-25,"89,719","38,273",2020,89719,드라마,주디,뮤지컬|멜로/로맨스|드라마
1746,더 보이,2019-05-23,"89,429","25,397",2019,89429,공포(호러),더 보이,공포|SF
1747,더 매직: 리틀톰과 도둑공주,2015-09-24,"89,358","20,244",2015,89358,애니메이션,더 매직: 리틀톰과 도둑공주,판타지
1748,슈퍼미니,2014-04-10,"89,328","21,281",2014,89328,애니메이션,슈퍼미니,어드벤처
1749,하이 크라임,2002-05-30,0,"89,300",2002,89300,스릴러,하이 크라임,드라마|범죄|스릴러
1750,오베라는 남자,2016-05-25,"89,103","43,635",2016,89103,드라마,오베라는 남자,코메디|드라마
1751,기묘한 이야기,2003-02-21,"89,000","31,400",2003,89000,공포(호러),기묘한 이야기,코메디|공포(호러)|옴니버스|판타지
1752,페이스 블라인드,2012-06-21,"88,977","28,629",2012,88977,범죄,페이스 블라인드,범죄|스릴러
1753,더 콜,2013-06-20,"88,953","32,488",2013,88953,스릴러,더 콜,스릴러
1754,콜드 라잇 오브 데이,2012-05-17,"88,522","28,596",2012,88522,액션,콜드 라잇 오브 데이,액션|스릴러
1755,레이니 데이 인 뉴욕,2020-05-06,"88,440","37,178",2020,88440,코미디,레이니 데이 인 뉴욕,코메디|멜로/로맨스
1756,레고 무비2,2019-02-06,"88,105","22,018",2019,88105,애니메이션,레고 무비2,액션|어드벤처|코메디|가족
1757,미드소마,2019-07-11,"88,055","48,211",2019,88055,공포(호러),미드소마,드라마|공포|미스터리
